comic_id,area,photo
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134146.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134156.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134221.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/back.jpeg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134254.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134120.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161501.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161539.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161513.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/ff 15 fantastic four.jpeg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161407.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161501(0).jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161432.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161424.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161523.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161443.jpg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/back.jpeg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/20250115_161454.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113421.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113232.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113224.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113252.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113257.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113240.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113339.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113304.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/back.jpeg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113348.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113217.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113411.jpg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/20241013_113439.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172214.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172148.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172239.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172205.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172128.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_175132.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172313.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172135.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172252.jpg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/20250107_172157.jpg
